Species.x	Group.x	Median_S.x	LCI_S.x	UCI_S.x	Median_W.x	LCI_W.x	UCI_W.x	Median_diff.x	LCI_diff.x	UCI_diff.x	Group.y	Median_S.y	LCI_S.y	UCI_S.y	Median_W.y	LCI_W.y	UCI_W.y	Median_diff.y	LCI_diff.y	UCI_diff.y	Group	Median_S	LCI_S	UCI_S	Median_W	LCI_W	UCI_W	Median_diff	LCI_diff	UCI_diff	eBird.English.Name.2021	eBird.Scientific.Name.2021	Species.y	jetz.eng.name	Diet.Guild	Family	bodymass	size
Spotted Dove	0	51.8	46	60.65125	62.6666666666667	53.1316666666667	68.3333333333333	-10.73125	-19.5007291666667	3.278125	2	944	936.61875	954.25	765.666666666667	752.25	774.25	179.5625	167.741666666667	195.55125	2	2075.21875	2060.75	2088.075	1696.3	1676.5	1717.3	377.062499999999	349.350000000001	400.760000000001	Spotted Dove	Spilopelia chinensis	Stigmatopelia chinensis	Spotted Dove	Plant & Seed	Columbidae (Pigeons and Doves)	158.99999988267922	Cuckoo sized
House Sparrow	0	119.95	38.4996875	272.668125	116.5	32.75	209.4534375	1.84375000000003	-148.8278125	183.254166666667	2	1129.75	1073.66666666667	1179.834375	875.75	853	894	254.75	197.3125	311.377083333333	2	2248	2248	2248	2225.75	2225.475	2225.75	22.25	22.25	22.5250000000001	House Sparrow	Passer domesticus	Passer domesticus	House Sparrow	Plant & Seed	Passeridae (Old World Sparrows)	26.510000016292384	Bulbul sized
Bar-winged Flycatcher-shrike	0	140.8375	133.535229166667	199.933875	118.98	79.0773958333333	159.8559375	26.9375	-15.753125	103.8984375	2	1175.16666666667	1135.6	1230.75	1058.25	1018.5	1096	122.208333333333	45.5999999999999	200.20625	1	2120.6625	2114.75	2130.34166666667	2175	2175	2175	-54.3374999999996	-60.25	-43.9666666666667	Bar-winged Flycatcher-shrike	Hemipus picatus	Hemipus picatus	Bar-winged Flycatcher-shrike	Invertebrate	Vangidae (Vangas, Helmetshrikes, and Allies)	8.98000000687922	Sparrow sized
Indian Scimitar-Babbler	0	498.5	465.58	526.25	537.22	477.9	571.975	-37.25	-83.7841875	28.3528125	0	1177.33333333333	1177.33333333333	1191.875	1177.33333333333	1146	1177.33333333333	2.33333333333348	0	37.00625	2	2035.5	2035.5	2035.5	1937.4	1932.83333333333	1946.33333333333	98.1000000000004	89.1666666666667	102.666666666667	Indian Scimitar-Babbler	Pomatorhinus horsfieldii	Pomatorhinus horsfieldii	not found	Invertebrate	Timaliidae (Tree-Babblers, Scimitar-Babblers, and Allies)	43.00000004162562	Bulbul sized
Crimson-backed Sunbird	2	91.6166666666667	81.261875	97.6078125	77.1266666666667	67.7346875	77.6666666666667	17.25	6.34500000000002	28.3845833333333	2	996.5	976.5	1019.128125	899.75	885	918.75	96.75	70.8739583333333	124.125	2	1654.6625	1647.4	1667.4075	1551.41875	1545.3109375	1554	104.791666666667	95.4431249999971	118.602499999997	Crimson-backed Sunbird	Leptocoma minima	Nectarinia minima	Crimson-backed Sunbird	Fruit & Nect	Nectariniidae (Sunbirds and Spiderhunters)	4.889999998608081	Sparrow sized
Malabar Gray Hornbill	0	47.25	44.3875	54.5375	46.7166666666667	42.825	49.3333333333333	0.427083333333336	-3.23458333333334	7.65375	2	776.5	757.326041666667	784.4	720.666666666667	655.75	731.1875	56.4166666666667	36.25	120.75625	1	1146.7	1138.49625	1163.75	1170.41875	1153.6559375	1185	-23.1375	-38.8331249999993	-2.07124999999961	Malabar Gray Hornbill	Ocyceros griseus	Ocyceros griseus	not found	Fruit & Nect	Bucerotidae (Hornbills)	291.9999996985039	Crow sized
Yellow-browed Bulbul	2	83.05	76.6666666666667	91.25	75.2858333333334	69.54875	77.6666666666667	6.67708333333333	0.423125000000011	17.2134375	2	947.125	929	959	898.25	885.194375	918.5	48.5833333333334	22.3274999999999	68.878125	2	1571.8125	1563.8	1582.25	1550.9375	1534.66666666667	1555.2	22.4312500000002	9.79999999999995	41.0362499999998	Yellow-browed Bulbul	Iole indica	Iole indica	Yellow-browed Bulbul	Omnivore	Pycnonotidae (Bulbuls)	30.599999966068307	Bulbul sized
Gray Junglefowl	1	55.25	47.25	65.3002083333333	77.6666666666667	74	85.601875	-22.4166666666667	-33.8296875	-11.9161666666667	0	996.5	969.5	1014.50208333333	969.25	956.1125	984.634375	26.8958333333333	0	52.003125	2	2035.5	2035.5	2035.5	1992	1976.535	2001.33333333333	43.5	34.1666666666667	58.9650000000016	Gray Junglefowl	Gallus sonneratii	Gallus sonneratii	not found	Omnivore	Phasianidae (Pheasants, Grouse, and Allies)	840.8199992186987	Larger
Bronzed Drongo	2	54.60125	48.5125	57.8503125	47.74375	46	50.1834375	6.5	0.198125000000003	10.6409791666667	0	517	479.5	579.75	479.5	479.5	518.5	33.5	-20.640625	94.5125	1	1135.6	1133.2535	1135.7125	1203.25	1187.7421875	1209.75	-67.6500000000001	-74.1500000000001	-52.1421875000001	Bronzed Drongo	Dicrurus aeneus	Dicrurus aeneus	Bronzed Drongo	Invertebrate	Dicruridae (Drongos)	26.000000001747043	Bulbul sized
White-browed Bulbul	0	36	21.3333333333333	80.9340625	77.6666666666667	71.4233333333333	94.1671875	-43.2458333333333	-63.8941666666667	2.74645833333334	0	489.25	479.5	489.25	479.5	479.5	479.709375	9.75	0	9.75	2	1069.225	1022.043125	1154.55	1017.21875	977.8714375	1046.66666666667	58.6375000000002	0.251354166666216	150.456354166667	White-browed Bulbul	Pycnonotus luteolus	Pycnonotus luteolus	White-browed Bulbul	Fruit & Nect	Pycnonotidae (Bulbuls)	34.70000001670913	Bulbul sized
