species,LONGITUDE,LATITUDE
species,74.7880125,14.8915389
species,74.7894167,14.1097023
species,74.7904372,14.5625687
species,74.7922108,14.2004751
species,74.7925417,14.59336
species,74.7934844,14.7328966
species,74.7942045,14.6996816
species,74.7945893,14.7216563
species,74.795372,14.221615
species,74.7961278,14.1874465
species,74.7985712,13.8589953
species,74.7989207,14.2206604
species,74.7996362,14.1865917
species,74.799959,14.184442
species,74.8008131,14.663096
species,74.801445,13.8459971
species,74.8015325,13.8326967
species,74.8018312,14.7278205
species,74.8031649,13.8353215
species,74.8036671,14.2523795
species,74.8044874,14.1945675
species,74.8059996,13.8059413
species,74.8063031,14.2261406
species,74.8073278,14.7198242
species,74.8082124,13.8665661
species,74.8083555,13.8325384
species,74.8085673,13.8647291
species,74.8087202,14.7387919
species,74.8088858,14.2251165
species,74.8089704,14.2174896
species,74.81025,13.83462
species,74.811049,13.8632152
species,74.811415,14.6263208
species,74.811909,14.717198
species,74.812087,14.85279
species,74.8122865,14.2254605
species,74.8123265,14.2320875
species,74.8125225,14.2294429
species,74.812584,14.640528
species,74.8128699,13.8655178
species,74.8132226,14.4561373
species,74.81378,14.2228
species,74.8139679,14.1901564
species,74.8147488,14.2262814
species,74.8153335,13.8637134
species,74.8156205,14.6238178
species,74.8169125,14.2094108
species,74.817185,14.6282069
species,74.8186319,13.8644082
species,74.8192097,14.2322643
species,74.8202909,13.9635051
species,74.8207998,14.6425824
species,74.821397,14.604204
species,74.8215235,14.2349767
species,74.8222066,14.7380044
species,74.8228431,14.7133416
species,74.8230364,14.2312585
species,74.823631,14.720087
species,74.825713,14.7163158
species,74.8261288,14.192245
species,74.82636,14.6214279
species,74.8298186,14.863874
species,74.8303604,14.6066705
species,74.83142,14.61364
species,74.8333926,14.6238906
species,74.8353251,14.6153906
species,74.8357773,14.6193596
species,74.8363434,14.6607266
species,74.8377714,14.6236551
species,74.838127,14.62946
species,74.8381698,14.6263787
species,74.839689,14.6208823
species,74.84,14.6171
species,74.8416486,14.6139353
species,74.842625,14.610386
species,74.8438611,14.6187536
species,74.844639,14.6080082
species,74.8448512,14.6211822
species,74.8449808,14.5967167
species,74.845089,14.6358439
species,74.8452193,14.6012422
species,74.8455566,14.6111747
species,74.846,14.6140298
species,74.8467438,14.608308
species,74.8470335,14.6326034
species,74.8474717,14.5990068
species,74.8478365,14.2832652
species,74.8478649,14.5941547
species,74.8479086,14.6017819
species,74.8479545,14.285199
species,74.8482621,14.6062469
species,74.8500252,14.6076646
species,74.8501539,14.6055947
species,74.8516265,14.5877127
species,74.8522289,14.630233
species,74.8529736,14.6043016
species,74.8530088,14.2191074
species,74.8536465,14.5934807
species,74.8553467,14.1152674
species,74.855808,14.642199
species,74.8562799,14.6302366
species,74.8608388,14.0673722
species,74.8629011,14.6455528
species,74.8636808,13.9119513
species,74.8671294,13.9125961
species,74.8672128,14.8391923
species,74.8672445,14.6187675
species,74.86747,14.831476
species,74.8676493,14.6766696
species,74.8711346,14.2337001
species,74.8711545,14.0589783
species,74.87184,14.0505
species,74.8723499,14.0765166
species,74.872551,14.211779
species,74.872781,14.0605978
species,74.8736206,13.8587524
species,74.8737577,14.17496
species,74.8740149,14.6990139
species,74.87456,13.86188
species,74.8749087,14.3385074
species,74.8773711,14.3558
species,74.8775,14.685
species,74.8791442,14.3583831
species,74.8807073,14.6106387
species,74.881975,13.867102
species,74.8819869,14.3615417
species,74.8833347,14.6291688
species,74.8840216,14.5656509
species,74.8841475,14.6778131
species,74.8845052,13.7703478
species,74.88507,13.8354517
species,74.885093,14.671917
species,74.8861702,13.8470757
species,74.8862403,14.3472078
species,74.8865123,14.6873165
species,74.8866578,14.3300431
species,74.8876569,13.7643626
species,74.8905345,14.3563965
species,74.8906571,14.3582936
species,74.8919759,14.3639872
species,74.8924361,14.3470731
species,74.8967951,14.3337848
species,74.897908,13.8343713
species,74.8982758,14.069812
species,74.8985574,14.6465001
species,74.9000903,13.943379
species,74.9003088,13.9356859
species,74.9010555,13.7449487
species,74.9012011,14.0688126
species,74.9043396,13.7376397
species,74.9054074,13.7280875
species,74.905689,14.346879
species,74.9064619,13.9221399
species,74.9074191,14.3487442
